#OTU ID	Platz19	Platz14	Platz11	Platz10	Platz18	Platz15	Platz12	Platz22	Platz13	Platz20	Platz2	Platz1	Platz16	Platz21	Platz24	Platz17	Platz5	Platz25	Platz8	Platz6	Platz7	Platz4	positiv	Platz3	Platz23	Platz9	taxonomy
369822	15.0	21.0	0.0	0.0	0.0	9.0	0.0	0.0	262.0	0.0	0.0	0.0	106.0	0.0	79.0	0.0	24.0	188.0	0.0	9.0	21.0	0.0	0.0	110.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
191734	14.0	0.0	0.0	0.0	275.0	250.0	0.0	0.0	0.0	0.0	19.0	30.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
4356080	16.0	9.0	0.0	0.0	0.0	0.0	0.0	94.0	46.0	0.0	0.0	0.0	278.0	28.0	0.0	0.0	0.0	29.0	0.0	58.0	0.0	0.0	0.0	0.0	70.0	552.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__; s__
196215	14.0	17.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	135.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	42.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
183603	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	865.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis
534926	10.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	48.0	24.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__
4471854	10.0	0.0	101.0	0.0	103.0	0.0	0.0	68.0	0.0	9.0	0.0	250.0	118.0	0.0	103.0	0.0	76.0	140.0	124.0	17.0	22.0	0.0	0.0	0.0	0.0	85.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
182854	9.0	0.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	18.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
361927	17.0	10.0	3.0	0.0	115.0	181.0	0.0	7.0	23.0	91.0	18.0	0.0	0.0	0.0	17.0	206.0	0.0	162.0	28.0	260.0	175.0	0.0	0.0	185.0	190.0	41.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
192720	9.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4437362	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	2386.0	5.0	0.0	0.0	0.0	78.0	78.0	8.0	0.0	6.0	0.0	0.0	24.0	0.0	10.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
188308	8.0	0.0	0.0	2964.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	45.0	21.0	733.0	0.0	145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
180738	8.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
221784	7.0	35.0	0.0	0.0	0.0	1.0	0.0	35.0	201.0	0.0	0.0	591.0	106.0	39.0	47.0	0.0	6.0	190.0	0.0	17.0	10.0	387.0	0.0	98.0	13.0	435.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
354574	7.0	9.0	98.0	0.0	32.0	0.0	68.0	14.0	30.0	233.0	0.0	168.0	0.0	17.0	44.0	52.0	18.0	6.0	3.0	431.0	9.0	65.0	0.0	21.0	86.0	4.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila; s__
4395096	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
1076587	6.0	13.0	57.0	6.0	0.0	40.0	72.0	39.0	121.0	26.0	30.0	322.0	69.0	0.0	32.0	55.0	3.0	17.0	40.0	8.0	3.0	37.0	0.0	16.0	8.0	57.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__formicigenerans
305247	6.0	16.0	466.0	0.0	2.0	42.0	0.0	60.0	27.0	147.0	0.0	2514.0	21.0	0.0	39.0	6.0	95.0	19.0	58.0	9.0	1.0	0.0	0.0	91.0	17.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4478242	6.0	0.0	134.0	51.0	0.0	13.0	14.0	0.0	0.0	0.0	20.0	0.0	28.0	0.0	2.0	0.0	0.0	129.0	17.0	0.0	5.0	12.0	0.0	0.0	0.0	1198.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
180563	8.0	5.0	5.0	0.0	7.0	21.0	91.0	29.0	8.0	0.0	0.0	48.0	68.0	0.0	22.0	4.0	20.0	0.0	2.0	0.0	0.0	0.0	0.0	25.0	17.0	11.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
1997733	6.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	440.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
331912	5.0	109.0	0.0	0.0	76.0	575.0	0.0	0.0	425.0	0.0	0.0	29.0	61.0	0.0	0.0	185.0	0.0	208.0	2.0	0.0	24.0	24.0	0.0	151.0	58.0	152.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
182305	5.0	0.0	50.0	0.0	3.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	11.0	5.0	0.0	0.0	13.0	16.0	46.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
370225	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1683.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis
4454586	8.0	10.0	15.0	0.0	44.0	13.0	0.0	4.0	34.0	4.0	0.0	100.0	32.0	0.0	27.0	135.0	32.0	51.0	11.0	6.0	19.0	12.0	0.0	20.0	30.0	76.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter; s__
