# Constructed from biom file
#OTU ID	Platz12	Platz2	Platz16	Platz13	Platz18	Platz17	Platz15	Platz1	Platz3	Platz19	Platz4	Platz5	Platz7	Platz6	Platz14	Platz8	Platz9	taxonomy
369555	186.0	4.0	0.0	0.0	213.0	0.0	0.0	21.0	456.0	7.0	0.0	12.0	0.0	0.0	3684.0	182.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
175535	98.0	201.0	1721.0	948.0	118.0	373.0	1363.0	5446.0	737.0	0.0	7342.0	2853.0	0.0	25.0	0.0	5412.0	10165.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
180563	111.0	172.0	10.0	357.0	0.0	195.0	0.0	189.0	211.0	96.0	384.0	201.0	373.0	1671.0	0.0	88.0	2270.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
221784	90.0	0.0	306.0	43.0	918.0	63.0	0.0	201.0	110.0	0.0	1313.0	253.0	0.0	1093.0	304.0	446.0	402.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
4174963	90.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1511.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
194896	88.0	106.0	254.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	3211.0	0.0	0.0	1165.0	390.0	281.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
294606	85.0	896.0	72.0	0.0	1586.0	91.0	0.0	209.0	13.0	427.0	596.0	214.0	8476.0	2287.0	1903.0	355.0	1709.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
194097	139.0	259.0	0.0	36.0	38.0	104.0	0.0	3.0	0.0	0.0	2252.0	553.0	0.0	0.0	1763.0	153.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
359149	83.0	204.0	1715.0	0.0	0.0	71.0	0.0	415.0	151.0	170.0	2554.0	296.0	0.0	801.0	257.0	757.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
359044	77.0	0.0	0.0	0.0	0.0	0.0	737.0	98.0	0.0	0.0	0.0	83.0	495.0	430.0	573.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
2979308	74.0	5.0	2.0	8.0	6.0	4.0	0.0	10.0	7.0	16.0	65.0	8.0	31.0	20.0	352.0	29.0	147.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
315429	70.0	0.0	3.0	0.0	0.0	0.0	9355.0	2.0	857.0	0.0	2.0	0.0	0.0	5.0	101.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
360717	69.0	0.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	450.0	92.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
305946	131.0	51.0	550.0	0.0	22.0	21.0	1741.0	1106.0	121.0	736.0	0.0	888.0	0.0	4592.0	529.0	0.0	7865.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
197111	79.0	88.0	0.0	0.0	18.0	135.0	0.0	52.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0	106.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
184971	65.0	0.0	158.0	47.0	0.0	178.0	0.0	58.0	0.0	0.0	224.0	141.0	0.0	610.0	4.0	121.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
351357	63.0	0.0	0.0	12.0	0.0	40.0	1014.0	0.0	0.0	92.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
287508	63.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	44.0	215.0	0.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia; s__
318190	97.0	274.0	398.0	22.0	23.0	58.0	207.0	544.0	684.0	1150.0	367.0	0.0	689.0	237.0	868.0	205.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
183798	76.0	0.0	674.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	95.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
314095	79.0	0.0	745.0	224.0	0.0	7.0	0.0	0.0	1121.0	3571.0	0.0	247.0	0.0	0.0	0.0	426.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
291090	58.0	0.0	4.0	0.0	207.0	0.0	30.0	0.0	226.0	0.0	0.0	231.0	0.0	27.0	27.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
183457	57.0	0.0	1.0	0.0	0.0	127.0	0.0	0.0	0.0	811.0	0.0	0.0	0.0	0.0	220.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
